WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-02-10 00:00:00.000,0,0,0,0,0,0,0,0,1713
2020-07-13 00:00:00.000,0,1,0,0,0,1,0,0,15
2019-05-20 00:00:00.000,0,0,0,0,0,0,0,0,1198
2020-04-06 00:00:00.000,2,2,43,0,1,1,2,0,3350
2020-07-27 00:00:00.000,0,0,0,0,0,0,0,0,37
2020-04-20 00:00:00.000,0,0,0,0,0,0,0,0,22
2020-02-03 00:00:00.000,60,35,26,0,5,4,3,0,3608
2019-10-07 00:00:00.000,0,2,47,0,0,1,4,0,54
2020-01-20 00:00:00.000,7,0,0,0,1,0,0,0,3805
2019-12-30 00:00:00.000,0,0,0,0,0,0,0,0,803
2019-02-04 00:00:00.000,0,0,0,0,0,0,0,0,3434
2020-05-25 00:00:00.000,7,0,6,0,1,0,1,0,1435
2020-07-27 00:00:00.000,0,0,0,0,0,0,0,0,3834
2019-12-16 00:00:00.000,1,0,0,0,1,0,0,0,5025
2019-01-14 00:00:00.000,3,0,0,0,1,0,0,0,52
2019-09-16 00:00:00.000,0,0,1,0,0,0,1,0,2064
2020-05-25 00:00:00.000,47,0,0,1,1,0,0,1,3805
2019-12-02 00:00:00.000,15,0,13,0,2,0,3,0,151
2020-07-06 00:00:00.000,3,0,0,0,1,0,0,0,3891
2019-10-28 00:00:00.000,443,92,214,4,8,7,7,1,1
2020-06-08 00:00:00.000,0,2,0,0,0,1,0,0,2395
2020-02-17 00:00:00.000,0,0,1,0,0,0,1,0,182
2020-07-13 00:00:00.000,0,0,0,0,0,0,0,0,261
2019-03-04 00:00:00.000,0,0,0,0,0,0,0,0,2207
2020-02-24 00:00:00.000,0,0,0,0,0,0,0,0,4878
2019-04-08 00:00:00.000,0,0,0,0,0,0,0,0,1368
2019-09-09 00:00:00.000,719,0,9,0,9,0,4,0,4
2020-04-20 00:00:00.000,66,5,28,1,4,3,3,1,136
2020-05-25 00:00:00.000,270,73,18,0,5,2,4,0,57
2019-04-22 00:00:00.000,21,0,0,0,1,0,0,0,1198
2019-07-22 00:00:00.000,11,0,0,0,1,0,0,0,3484
2019-10-21 00:00:00.000,33,2,0,0,2,1,0,0,3056
2019-12-09 00:00:00.000,0,0,0,0,0,0,0,0,5145
2020-02-24 00:00:00.000,0,0,0,0,0,0,0,0,3834
2019-02-18 00:00:00.000,0,1,0,0,0,1,0,0,4478
2020-01-06 00:00:00.000,541,3,8,0,9,2,3,0,4
2019-09-09 00:00:00.000,1,0,0,0,1,0,0,0,4321
2019-11-11 00:00:00.000,46,10,37,2,3,2,3,1,4436
2019-03-04 00:00:00.000,0,0,0,0,0,0,0,0,503
2020-02-17 00:00:00.000,0,0,0,0,0,0,0,0,1743
2020-02-03 00:00:00.000,0,0,64,0,0,0,4,0,178
2020-02-10 00:00:00.000,0,0,0,0,0,0,0,0,736
2019-04-01 00:00:00.000,0,0,0,0,0,0,0,0,680
2020-03-02 00:00:00.000,0,0,0,0,0,0,0,0,1348
2020-03-09 00:00:00.000,4,0,0,0,1,0,0,0,3112
2020-06-08 00:00:00.000,6,1,4,0,1,1,1,0,103
2019-04-08 00:00:00.000,57,7,0,0,2,1,0,0,79
2020-06-01 00:00:00.000,97,0,355,4,3,0,8,1,50
2019-11-11 00:00:00.000,13,8,7,0,1,1,1,0,3379
2020-05-18 00:00:00.000,0,0,0,0,0,0,0,0,4915
2020-04-06 00:00:00.000,2,0,0,0,1,0,0,0,3624
2020-06-01 00:00:00.000,20,15,4,2,2,2,2,1,15
2020-01-06 00:00:00.000,33,0,0,0,1,0,0,0,3562
