IS_CUSTOMER_TS,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,ALEXA_RANK_final,Employee_Range_Final,Industry_final
N,0.5,0,0,0,0.5,0,0,0,729606,6 to 10,COMPUTER_SOFTWARE
Y,24.23076923076923,3.769230769230769,11.5,1.1923076923076923,1.8846153846153846,1.0384615384615385,1.3846153846153846,0.46153846153846156,729606,6 to 10,COMPUTER_SOFTWARE
N,1,0,0,0,0.3333333333333333,0,0,0,302735,201 to 1000,Consulting/Advisory
Y,0.875,0,0,0,0.5,0,0,0,302735,201 to 1000,Consulting/Advisory
Y,0,0,0,0,0,0,0,0,8095413,6 to 10,
N,0,0,0,0,0,0,0,0,1971714,6 to 10,COMPUTER_SOFTWARE
Y,12.833333333333334,1.1666666666666667,2,0,1,0.16666666666666666,0.5,0,1971714,6 to 10,COMPUTER_SOFTWARE
N,10,13.333333333333334,12.666666666666666,0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0,63461,51 to 200,MARKETING_AND_ADVERTISING
Y,353.07142857142856,712.4761904761905,85.92857142857143,0,6.880952380952381,9.19047619047619,8.166666666666666,0,63461,51 to 200,MARKETING_AND_ADVERTISING
N,13,0,0,0,1.5,0,0,0,16000001,11 to 25,
Y,402,1.3333333333333333,75,0,8,0.3333333333333333,4.333333333333333,0,16000001,11 to 25,
N,1,0,1.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0,10494768,6 to 10,INFORMATION_TECHNOLOGY_AND_SERVICES
Y,74.52542372881356,42.40677966101695,15.610169491525424,1.9322033898305084,4.762711864406779,3.7457627118644066,2.5084745762711864,0.3389830508474576,10494768,6 to 10,INFORMATION_TECHNOLOGY_AND_SERVICES
Y,0,0,0,0,0,0,0,0,16000001,,
N,7.909090909090909,23.363636363636363,6.090909090909091,0,1.3636363636363635,1.5454545454545454,1.5454545454545454,0,690666,6 to 10,
Y,103.45454545454545,48.58181818181818,83.38181818181818,0,4.363636363636363,3.709090909090909,5.090909090909091,0,690666,6 to 10,
N,14.25,1.75,17.75,0.25,2,1.25,1.75,0.25,8808761,6 to 10,
Y,33.833333333333336,46,11.833333333333334,0.8333333333333334,3,1.6666666666666667,1.1666666666666667,0.5,8808761,6 to 10,
N,923.7307692307693,0.019230769230769232,0,2.480769230769231,25.423076923076923,0.019230769230769232,0,0.8461538461538461,4399993,51 to 200,
Y,764.3684210526316,0,5.052631578947368,3.3684210526315788,24.68421052631579,0,1.0526315789473684,1.4736842105263157,4399993,51 to 200,
N,21,2,7,0,2,1,1,0,10390859,2 to 5,
Y,3.980392156862745,1.803921568627451,0.09803921568627451,0,0.5686274509803921,0.3333333333333333,0.058823529411764705,0,10390859,2 to 5,
N,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,3906451,6 to 10,REAL_ESTATE
Y,4.903225806451613,0,0.22580645161290322,0.6774193548387096,1.3225806451612903,0,0.06451612903225806,0.3870967741935484,3906451,6 to 10,REAL_ESTATE
N,4,0,0.8571428571428571,0.03571428571428571,0.39285714285714285,0,0.2857142857142857,0.03571428571428571,3337894,26 to 50,WINE_AND_SPIRITS
N,29.75,24.25,20.75,0,0.75,0.75,0.5,0,7315915,2 to 5,
Y,6.285714285714286,6.142857142857143,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.5714285714285714,7315915,2 to 5,
N,139,7,62,0,2,1,2,0,1099982,6 to 10,
Y,20.878048780487806,10.097560975609756,18.26829268292683,0.6097560975609756,1.829268292682927,0.8048780487804879,1.0975609756097562,0.1951219512195122,1099982,6 to 10,
N,40.5,4,23.75,0,2,0.75,1.25,0,16000001,11 to 25,
Y,11.18840579710145,2.0579710144927534,17.347826086956523,0.2753623188405797,1.3768115942028984,0.6086956521739131,1.5072463768115942,0.057971014492753624,16000001,11 to 25,
N,4.654545454545454,3.290909090909091,3.8181818181818183,0,0.2545454545454545,0.23636363636363636,0.16363636363636364,0,235658,11 to 25,
Y,48.333333333333336,14.733333333333333,5.6,0,0.6,0.6666666666666666,0.7333333333333333,0,235658,11 to 25,
N,60.22222222222222,153.16666666666666,13.11111111111111,3.611111111111111,2.1666666666666665,2.7222222222222223,1.8333333333333333,0.8888888888888888,483736,6 to 10,
N,1.3191489361702127,0,6.638297872340425,0,0.2127659574468085,0,1,0,478230,2 to 5,
Y,46.9,0.2,11.4,0,3.4,0.15,1.95,0,478230,2 to 5,
Y,198.41463414634146,13.048780487804878,259.4146341463415,16.024390243902438,6.2682926829268295,0.4146341463414634,6.170731707317073,2.073170731707317,2326613,2 to 5,
N,3.66,7.54,4.52,0,1.24,1.32,1.32,0,1036265,1001 to 10000,
Y,9.545454545454545,20.40909090909091,14.272727272727273,0,2.5,2.909090909090909,3.090909090909091,0,1036265,1001 to 10000,
N,22.854545454545455,0.01818181818181818,4.945454545454545,0,1.4,0.01818181818181818,0.2545454545454545,0,1256632,6 to 10,Technology - Software
Y,225.07142857142858,0.35714285714285715,126.71428571428571,1.2857142857142858,5.142857142857143,0.07142857142857142,4.285714285714286,0.5,1256632,6 to 10,Technology - Software
N,0,0,0,0,0,0,0,0,840453,26 to 50,MANAGEMENT_CONSULTING
Y,13.897435897435898,10.512820512820513,41.1025641025641,0,2.1025641025641026,1.9230769230769231,3.948717948717949,0,840453,26 to 50,MANAGEMENT_CONSULTING
N,64.86666666666666,3.8,2.2666666666666666,92.93333333333334,6.2,0.3333333333333333,0.2,2.6666666666666665,356092,201 to 1000,REAL_ESTATE
Y,2002.3620689655172,175.44827586206895,100.10344827586206,30.879310344827587,40.793103448275865,18.5,16.24137931034483,3.3448275862068964,356092,201 to 1000,REAL_ESTATE
N,4.953488372093023,0,7.651162790697675,0.23255813953488372,0.8837209302325582,0,1.0930232558139534,0.06976744186046512,16000001,6 to 10,
N,4,0,0,0,2,0,0,0,16000001,6 to 10,
Y,417.9268292682927,19.78048780487805,230.0731707317073,0.04878048780487805,5.634146341463414,1.2195121951219512,5.926829268292683,0.024390243902439025,16000001,6 to 10,
N,13.5,0.5,0.5,0,1,0.5,0.5,0,16000001,6 to 10,
Y,1.2857142857142858,0,0,0,0.14285714285714285,0,0,0,16000001,6 to 10,
N,0,0,0,0,0,0,0,0,16000001,11 to 25,MARKETING_AND_ADVERTISING
Y,7.673469387755102,0.8367346938775511,0.1836734693877551,1.1428571428571428,1.1224489795918366,0.2857142857142857,0.02040816326530612,0.42857142857142855,16000001,11 to 25,MARKETING_AND_ADVERTISING
N,4753.020833333333,0.25,3.8958333333333335,6.354166666666667,11.5,0.1875,1.75,1.0625,2392953,201 to 1000,FINANCIAL_SERVICES
Y,201,0.6875,5.5,3.6875,9.5,0.5625,1.8125,1.1875,2392953,201 to 1000,FINANCIAL_SERVICES
Y,28.436363636363637,6.7272727272727275,2.981818181818182,2.1454545454545455,2.6,0.6181818181818182,0.41818181818181815,0.7636363636363637,691248,2 to 5,
N,27,0,16.833333333333332,0.3333333333333333,0.8333333333333334,0,0.8333333333333334,0.16666666666666666,3423341,6 to 10,
Y,102,0,53.77777777777778,15.555555555555555,3.111111111111111,0,2.3333333333333335,1.4444444444444444,3423341,6 to 10,
N,101,9.5,0,0,1,1,0,0,16000001,6 to 10,
Y,42.38028169014085,0.19718309859154928,0,0,1.7746478873239437,0.11267605633802817,0,0,16000001,6 to 10,
N,17,13.6,20.4,0,0.8,0.8,0.8,0,3998334,6 to 10,
Y,1.1111111111111112,0.4722222222222222,4.527777777777778,0,0.19444444444444445,0.1111111111111111,0.19444444444444445,0,3998334,6 to 10,
N,0.25,0,0,0,0.25,0,0,0,150037,26 to 50,ENVIRONMENTAL_SERVICES
Y,16.6875,5.0625,31.4375,1.125,2.875,1.125,2.1875,0.5625,150037,26 to 50,ENVIRONMENTAL_SERVICES
N,0,0,0,0,0,0,0,0,16000001,6 to 10,
Y,106.22222222222223,57.69444444444444,151.02777777777777,0,3,2.7777777777777777,3.25,0,16000001,6 to 10,
N,0,0,0,0,0,0,0,0,16000001,201 to 1000,Software
Y,77.21052631578948,24.105263157894736,1.5526315789473684,1.9210526315789473,3.026315789473684,1.236842105263158,0.3684210526315789,0.2631578947368421,16000001,201 to 1000,Software
N,0,0.9230769230769231,0.5384615384615384,0,0,0.15384615384615385,0.15384615384615385,0,7439329,6 to 10,
Y,0,0,0,0,0,0,0,0,7439329,6 to 10,
N,0,0,0,0,0,0,0,0,16000001,11 to 25,
Y,1.3333333333333333,0,0,0,0.3333333333333333,0,0,0,16000001,11 to 25,
N,35.857142857142854,1.5714285714285714,19.714285714285715,0,2.857142857142857,1,1.5714285714285714,0,16000001,11 to 25,
Y,67.71428571428571,42.57142857142857,146.28571428571428,0,5.428571428571429,3.2857142857142856,6,0,16000001,11 to 25,
N,6.428571428571429,1.5714285714285714,4.571428571428571,0,0.8571428571428571,0.5714285714285714,0.7142857142857143,0,479245,2 to 5,
Y,599.3207547169811,4.943396226415095,510.60377358490564,6.830188679245283,7.622641509433962,1.2075471698113207,6.830188679245283,0.8301886792452831,479245,2 to 5,
N,22,55.666666666666664,13.555555555555555,0,1.5555555555555556,2,1.5555555555555556,0,2574894,11 to 25,
Y,120.68,387.96,80.64,0.12,9.32,13.12,8.76,0.12,2574894,11 to 25,
N,39.666666666666664,1.3333333333333333,3,6.444444444444445,3.388888888888889,0.6666666666666666,0.2222222222222222,0.8888888888888888,1119477,6 to 10,
Y,583.7916666666666,247.8125,117.60416666666667,2.9375,9.25,6.625,7.291666666666667,0.8541666666666666,1119477,6 to 10,
N,5.093023255813954,1.255813953488372,4.6976744186046515,0.7209302325581395,1.1162790697674418,0.4418604651162791,0.8837209302325582,0.046511627906976744,16000001,6 to 10,
Y,92.3076923076923,9.076923076923077,14.76923076923077,3.4615384615384617,2.923076923076923,1.6923076923076923,2.076923076923077,0.46153846153846156,16000001,6 to 10,
N,8.045454545454545,15.136363636363637,50.86363636363637,0,1.5454545454545454,2.3181818181818183,5.818181818181818,0,16000001,26 to 50,
Y,20.674418604651162,9.30232558139535,47.81395348837209,0,2.441860465116279,1.5116279069767442,6.627906976744186,0,16000001,26 to 50,
N,64.87234042553192,6.361702127659575,183.0212765957447,11,6.74468085106383,2.3404255319148937,9.085106382978724,1.6808510638297873,16000001,2 to 5,
Y,40.77272727272727,1.4545454545454546,136.4090909090909,5.409090909090909,4.090909090909091,0.8636363636363636,7.045454545454546,1.9090909090909092,16000001,2 to 5,
N,6.961538461538462,2.576923076923077,2.3461538461538463,2.0384615384615383,1.6153846153846154,0.4230769230769231,0.15384615384615385,0.5,4576231,11 to 25,
Y,26,31.146341463414632,51.51219512195122,1.829268292682927,3.4878048780487805,3,3.7560975609756095,0.6341463414634146,4576231,11 to 25,
N,1,0,0,0,1,0,0,0,762343,26 to 50,
Y,286.1,95,7.5,0,6.1,4,1.7,0,762343,26 to 50,
N,177.42857142857142,0.42857142857142855,300.57142857142856,0.2857142857142857,3,0.14285714285714285,5.428571428571429,0.14285714285714285,2460378,6 to 10,
Y,287.4186046511628,38.69767441860465,239.02325581395348,1.4883720930232558,9.69767441860465,4,10.767441860465116,0.4418604651162791,2460378,6 to 10,
N,7.666666666666667,5,15,0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0,991346,26 to 50,INFORMATION_TECHNOLOGY_AND_SERVICES
Y,1.5,0.5,12.5,0,1,0.5,1.25,0,991346,26 to 50,INFORMATION_TECHNOLOGY_AND_SERVICES
N,1,0,0,0,1,0,0,0,1914733,26 to 50,
Y,229.66666666666666,14.833333333333334,26.166666666666668,4.416666666666667,6.125,1.9166666666666667,1.6666666666666667,0.7916666666666666,1914733,26 to 50,
N,133,2.6875,80.1875,8.5625,3.9375,0.5625,3.25,0.6875,16000001,2 to 5,
Y,70.94117647058823,2.450980392156863,59.84313725490196,4.509803921568627,3.3137254901960786,1.0196078431372548,2.803921568627451,0.45098039215686275,16000001,2 to 5,
N,16.6,4,14.2,0,1.5,0.9,1.6,0,788355,201 to 1000,Technology - Software
Y,6.75,1.75,10.25,0,2.5,1.25,2,0,788355,201 to 1000,Technology - Software
N,1.3333333333333333,2.6666666666666665,6.666666666666667,0,0.3333333333333333,1,0.6666666666666666,0,3119979,11 to 25,COMPUTER_SOFTWARE
Y,11.333333333333334,83,62.666666666666664,4.333333333333333,2.6666666666666665,2.3333333333333335,4,0.3333333333333333,3119979,11 to 25,COMPUTER_SOFTWARE
N,79.1304347826087,23.73913043478261,17.804347826086957,2.4130434782608696,1.6521739130434783,0.782608695652174,1.1521739130434783,0.3695652173913043,987139,2 to 5,COMPUTER_SOFTWARE
Y,53.476190476190474,7.190476190476191,8.047619047619047,0.38095238095238093,2.238095238095238,1.2380952380952381,0.8095238095238095,0.2857142857142857,987139,2 to 5,COMPUTER_SOFTWARE
N,38.97142857142857,0.6,112.48571428571428,5.628571428571429,5.171428571428572,0.2857142857142857,3.742857142857143,0.9714285714285714,16000001,201 to 1000,NON_PROFIT_ORGANIZATION_MANAGEMENT
Y,373.9032258064516,0,2318.032258064516,9.838709677419354,34.87096774193548,0,76.16129032258064,1.7096774193548387,16000001,201 to 1000,NON_PROFIT_ORGANIZATION_MANAGEMENT
Y,4.083333333333333,0,6.666666666666667,0,0.7916666666666666,0,0.7083333333333334,0,48932,201 to 1000,EDUCATION_MANAGEMENT
N,111.69354838709677,13.983870967741936,85.25806451612904,0.5645161290322581,3.806451612903226,2.5,4.483870967741935,0.22580645161290322,2432901,26 to 50,Technology - Software
Y,3095,61,268,3,7,6,7,2,2432901,26 to 50,Technology - Software
N,291.7142857142857,19.892857142857142,95.71428571428571,10.178571428571429,7.178571428571429,2.6785714285714284,4.75,1.3214285714285714,1343588,51 to 200,
Y,978.8444444444444,192.88888888888889,176.22222222222223,4.733333333333333,13.044444444444444,8.8,12.8,1.4666666666666666,1343588,51 to 200,
Y,413.64179104477614,82.98507462686567,70.01492537313433,4.343283582089552,9.91044776119403,6.597014925373134,7.417910447761194,0.9104477611940298,1482175,26 to 50,
N,3.75,4.125,3.375,0.041666666666666664,0.7916666666666666,0.2916666666666667,0.2916666666666667,0.041666666666666664,998871,2 to 5,
Y,6.703703703703703,15.962962962962964,17.51851851851852,0,0.9629629629629629,1.7777777777777777,1.6666666666666667,0,998871,2 to 5,
N,9.25,1.25,2.75,0,1,0.5,0.75,0,1128365,26 to 50,MARKETING_AND_ADVERTISING
Y,250.42857142857142,158.6,60.48571428571429,0.8571428571428571,3.9714285714285715,3.914285714285714,3.742857142857143,0.4,1128365,26 to 50,MARKETING_AND_ADVERTISING
Y,25.716666666666665,0.26666666666666666,0.06666666666666667,2.45,3.3666666666666667,0.15,0.03333333333333333,0.4666666666666667,16000001,201 to 1000,
N,0,0,0,0,0,0,0,0,1978893,26 to 50,COMPUTER_SOFTWARE
Y,121.94642857142857,28.464285714285715,65.53571428571429,3.6607142857142856,6.732142857142857,5.446428571428571,7.482142857142857,0.7678571428571429,1978893,26 to 50,COMPUTER_SOFTWARE
